subject,condition,named,afc,whichSide,whichResp,whichItem,trial,condition.y,studyResp,studyResp2,rt1,rt2,list,pas1,pas2
3,binocular,1,1,0,0.0,83,88,4,1,1,3.91699220461305,3.91696805716492,6,3,3
3,cfs,1,1,0,0.0,90,89,3,0,3,0.916933948872611,0.916988582524937,6,NR,1
3,not studied,1,1,1,1.0,95,90,1,9,9,0.0,0.0,6,fNS,fNS
3,not studied,1,0,1,0.0,89,91,1,9,9,0.0,0.0,6,fNS,fNS
3,word,1,1,1,1.0,91,93,2,1,8,3.91701393731637,3.91698314930545,6,3,3
3,binocular,1,1,0,0.0,93,94,4,1,1,3.91699160088319,3.9169689627015,6,3,3
3,binocular,1,1,1,1.0,96,95,4,1,1,3.91698858246673,3.91696775529999,6,3,3
3,word,1,1,0,0.0,92,96,2,1,8,3.91699009167496,3.91696383128874,6,3,3
3,binocular,0,1,1,1.0,97,97,4,8,8,3.91695326683111,3.91696956631495,7,3,3
3,not studied,0,0,1,0.0,100,98,1,9,9,0.0,0.0,7,fNS,fNS
3,not studied,0,0,0,1.0,101,99,1,9,9,0.0,0.0,7,fNS,fNS
3,word,1,1,1,1.0,104,101,2,8,1,3.91696866077837,3.91695809632074,7,3,3
3,word,0,0,1,0.0,98,102,2,8,1,3.916955379711,3.91695598338265,7,3,3
3,binocular,1,1,1,1.0,99,103,4,1,8,3.91696202027379,3.91695628524758,7,3,3
3,cfs,1,1,1,1.0,102,104,3,8,3,0.916905575606506,3.91695387050277,7,3,1
3,binocular,0,1,0,0.0,109,105,4,2,8,3.91694149491377,3.91695598344086,7,2,3
3,word,1,1,0,0.0,112,106,2,1,1,3.916955379711,3.91695900185732,7,3,3
3,not studied,0,1,1,1.0,110,107,1,9,2,0.0,0.916955379710998,7,fNS,2
3,binocular,1,1,0,0.0,106,109,4,1,1,3.91695658711251,3.91695175756468,7,3,3
3,not studied,0,0,1,0.0,108,110,1,9,9,0.0,0.0,7,fNS,fNS
3,word,0,0,1,0.0,111,111,2,8,1,3.91695387050277,3.91695688891923,7,3,3
3,not studied,0,1,1,1.0,117,113,1,9,9,0.0,0.0,8,fNS,fNS
3,binocular,1,1,1,1.0,120,114,4,1,1,3.91695477603935,3.91695356869604,8,3,3
3,word,1,1,1,1.0,114,117,2,1,0,3.91696141660213,3.91696020920062,8,3,NR
3,not studied,0,1,0,0.0,113,118,1,4,9,3.91695658711251,0.0,8,0,fNS
